Title,Description,Map Link,Active,Room Location,Asset,Desk Location,Capacity,RoomPicture,Division,POC,VTel,Projector/TV,Smart Board,SecondPOC,Floor,Created By
"Bldg. 9, RM124, Desk 9",,,1,"Bldg. 9, RM124",Desk,,,,,,,,,,,"lastName, firstName A."
"Bldg. 9, RM124, Desk 10",,,1,"Bldg. 9, RM124",Desk,,,,,,,,,,,"lastName, firstName A."
"Bldg. 9, RM124, Desk 11",,,1,"Bldg. 9, RM124",Desk,,,,,,,,,,,"lastName, firstName A."
"Bldg. 9, RM124, Desk 12",,,1,"Bldg. 9, RM124",Desk,,,,,,,,,,,"lastName, firstName A."
"Bldg. 39, RM25, Desk 2",,,1,"Bldg. 39, RM25",Desk,,,,,,,,,,,"lastName, firstName A."
"Bldg. 39, RM25, Desk 3",,,1,"Bldg. 39, RM25",Desk,,,,,,,,,,,"lastName, firstName A."
"Bldg. 39, RM25, Desk 4",,,1,"Bldg. 39, RM25",Desk,,,,,,,,,,,"lastName, firstName A."
"Bldg. 39, RM25, Desk 5",,,1,"Bldg. 39, RM25",Desk,,,,,,,,,,,"lastName, firstName A."
"Bldg. 39, RM25, Desk 6",,,1,"Bldg. 39, RM25",Desk,,,,,,,,,,,"lastName, firstName A."
"Bldg. 39, RM25, Desk 7",,,0,"Bldg. 39, RM25",Desk,,,,,,,,,,,"lastName, firstName A."
"Bldg. 39, RM25, Desk 8",,,1,"Bldg. 39, RM25",Desk,,,,,,,,,,,"lastName, firstName A."
"Bldg. 39, RM25, Desk 9",,,1,"Bldg. 39, RM25",Desk,,,,,,,,,,,"lastName, firstName A."
"Bldg. 2, RM1417",,,1,"Bldg. 2, RM1417",Room,,,,,,,,,,,"lastName, firstName A."
"Bldg. 2, RM1417, Desk 1 ",,,1,"Bldg. 2, RM1417",Desk,,,,,,,,,,,"lastName, firstName A."
"Bldg. 2, RM1417, Desk 2",,,1,"Bldg. 2, RM1417",Desk,,,,,,,,,,,"lastName, firstName A."
"Bldg. 2, RM1417, Desk 3",,,1,"Bldg. 2, RM1417",Desk,,,,,,,,,,,"lastName, firstName A."
"Bldg. 2, RM1417, Desk 4",,,1,"Bldg. 2, RM1417",Desk,,,,,,,,,,,"lastName, firstName A."
"Bldg. 2, RM1417, Desk 5",,,1,"Bldg. 2, RM1417",Desk,,,,,,,,,,,"lastName, firstName A."
"Bldg. 2, RM1417, Desk 6",,,1,"Bldg. 2, RM1417",Desk,,,,,,,,,,,"lastName, firstName A."
"Bldg. 2, RM1417, Desk 7",,,1,"Bldg. 2, RM1417",Desk,,,,,,,,,,,"lastName, firstName A."
"Bldg. 2, RM1417, Desk 8",,,1,"Bldg. 2, RM1417",Desk,,,,,,,,,,,"lastName, firstName A."
"Bldg. 2, RM1417, Desk 9",,,1,"Bldg. 2, RM1417",Desk,,,,,,,,,,,"lastName, firstName A."
"Lansing CBOC, RM110",,,1,"Lansing CBOC, RM110",Room,,,,,,,,,,,"lastName, firstName A."
"Lansing CBOC, RM110, Desk 1",,,1,"Lansing CBOC, RM110",Desk,,,,,,,,,,,"lastName, firstName A."
"Lansing CBOC, RM110, Desk 2",,,0,"Lansing CBOC, RM110",Desk,,,,,,,,,,,"lastName, firstName A."
"Lansing CBOC, RM110, Desk 3",,,0,"Lansing CBOC, RM110",Desk,,,,,,,,,,,"lastName, firstName A."
"Lansing CBOC, RM110, Desk 4",,,1,"Lansing CBOC, RM110",Desk,,,,,,,,,,,"lastName, firstName A."
